id,titulo,showType,descricao,releaseYear,ageCertification,runtime,generos,productionCountries,temporadas,imdbId,imdbScore,imdbVotes,tmdbPopularity,tmdbScore
tm1037704,Resort to Love,MOVIE,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,2021,PG,101,"romance,comedy",US,0,0,tt12929990,5,7,5771,0,42,8,7,3
tm1038327,Beckett,MOVIE,An American tourist in Greece finds himself on the run after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,2021,R,109,"crime,thriller,action,drama","IT,BR",0,0,tt10230994,5,6,25703,0,86,2,6,3
tm1038344,Awake,MOVIE,"After a sudden global event wipes out all electronics and takes away humankind’s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",2021,R,96,"drama,scifi,thriller,action",US,0,0,tt10418662,4,9,21498,0,89,2,6,0
tm1038363,America: The Motion Picture,MOVIE,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,2021,R,98,"action,animation,war,comedy,fantasy,history,scifi",US,0,0,tt6733874,5,6,6349,0,68,4,5,8
tm1038369,Good on Paper,MOVIE,"After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes but is he everything he appears to be?",2021,R,92,"comedy,romance",US,0,0,tt8231668,5,6,11987,0,14,8,5,7
tm1038686,Bo Burnham: Inside,MOVIE,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",2021,R,87,"comedy,drama,music,reality",US,0,0,tt14544192,8,7,44074,0,11,4,8,2
tm1043290,Murder by the Coast,MOVIE,"In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth.",2021,PG-13,88,"crime,documentation,history",ES,0,0,tt13323092,6,5,2134,0,8,7,6,4
tm1043537,Operation Mincemeat,MOVIE,"In 1943, two British intelligence officers concoct Operation Mincemeat, wherein their plan to drop a corpse with false papers off the coast of Spain would fool Nazi spies into believing the Allied forces were planning to attack by way of Greece rather than Sicily.",2022,PG-13,128,"drama,war,history","GB,US",0,0,tt1879016,6,6,18893,0,44,3,6,7
tm1044137,Headspace Unwind you Mind,MOVIE,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to you mood or mindset with this Headspace interactive special",2021,G,15,"animation,documentation",US,0,0,tt14684160,7,2,132,0,6,4,7,2
tm1044289,Interceptor,MOVIE,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,2022,PG-13,98,"thriller,action,drama",AU,0,0,tt14174940,4,5,20007,0,438,5,6,1
tm1045603,The House of Flowers: The Movie,MOVIE,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,2021,R,86,"drama,comedy",MX,0,0,tt14549558,5,5,851,0,34,0,8,0
tm1046264,The Vault,MOVIE,"When an engineer (Freddie Highmore) learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",2021,R,118,"crime,action,thriller,fantasy",ES,0,0,tt9742794,6,4,21511,0,22,5,5,9
tm1046932,Kate,MOVIE,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,2021,R,106,"action,drama,thriller,crime","US,JP,TH",0,0,tt7737528,6,2,59480,0,64,2,6,7
tm1047503,Trees of Peace,MOVIE,"In April of 1994, four women from different backgrounds and beliefs are trapped and hiding during the Rwandan genocide. Their fight for survival against all odds unites the women in an unbreakable sisterhood.",2021,NC-17,97,drama,US,0,0,tt11316680,6,4,1104,0,118,6,7,3
tm1048362,Army of Thieves,MOVIE,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,2021,R,127,"comedy,crime,thriller,scifi,horror,romance,action","DE,US",0,0,tt13024674,6,4,73790,0,157,0,6,9
tm1052498,Aileen Wuornos: American Boogeywoman,MOVIE,"Based on Aileen Wuornos's early life, America's most notorious female serial killer, back in 1976 a young Aileen arrives in Florida searching for a new life that will help her escape her tragic past, marries a wealthy Yacht Club president and has the chance to start again as part of Florida's high society. But tormented by inner angels she surrenders to her murderous impulses and wreaks havoc in the peaceful community of Deland, Florida.",2021,R,85,"thriller,drama,horror",US,0,0,tt14265992,3,7,1538,0,6,8,5,4
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,"With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.",2002,PG-13,100,"fantasy,action,animation,romance,comedy",JP,0,0,tt0366621,7,3,2148,0,31,0,7,6
tm105329,Road to Perdition,MOVIE,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",2002,R,117,"thriller,documentation,drama,crime",US,0,0,tt0257044,7,7,265216,0,18,7,7,4
tm106278,Everything Must Go,MOVIE,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",2011,R,97,"romance,comedy,drama",US,0,0,tt1531663,6,4,50792,0,9,8,6,1
tm1063013,The Father Who Moves Mountains,MOVIE,"Mircea, former Intelligence officer, finds out that his son from has gone missing in the mountains. He travels there to find him. After days of searches, Mircea put his own rescue team together, leading to conflict with the local squad.",2021,PG-13,108,"thriller,drama","SE,RO",0,0,tt8886670,5,5,3472,0,20,0,6,0
tm1064228,Fatherhood,MOVIE,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",2021,PG-13,109,"drama,comedy","CA,US",0,0,tt4733624,6,6,34661,0,88,6,7,6
tm1065041,The Seven Deadly Sins: Cursed by Light,MOVIE,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",2021,PG-13,79,"animation,fantasy,action",JP,0,0,tt13884144,6,4,970,0,470,8,7,9
tm106625,"LSD: Love, Sex aur Dhokha",MOVIE,"A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely linked tales.",2010,PG-13,108,"drama,comedy,crime,romance",IN,0,0,tt1608777,7,2,5684,0,3,1,6,1
tm1066826,Diana: The Musical,MOVIE,A princess is thrust onto the world stage. The tabloid media is captivated by her beauty and vulnerability. The globe's most celebrated monarchy is disrupted. This is the story of the most princess woman of the modern age as she struggles to endure a spotlight brighter than any the world had ever known.,2021,PG-13,117,"history,music,romance,drama",US,0,0,tt12885272,4,2,1266,0,5,1,6,1
tm1067148,The Sea Beast,MOVIE,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022,PG,115,"comedy,family,fantasy,scifi,animation",US,0,0,tt9288046,7,1,18852,0,1723,4,7,6
tm1073510,SAS: Red Notice,MOVIE,A small army of well trained criminals led by Grace Lewis have hijacked a train deep beneath the English Channel.,2021,R,124,"thriller,action,drama","GB,HU,NL,CH",0,0,tt4479380,5,2,18190,0,89,6,5,9
